"","Created.Date","Agency","Agency.Name","Complaint.Type","Descriptor","Incident.Zip","Borough","Latitude","Longitude","year","month"
"1259996","08/31/2015 09:41:35 PM","DHS","Operations Unit - Department of Homeless Services","Homeless Person Assistance","No Status Call","10011","MANHATTAN",40.7456005058835,-73.9982749359966,2015,8
"1260201","08/31/2015 08:51:53 PM","NYPD","New York City Police Department","Homeless Encampment","N/A","10007","MANHATTAN",40.7138681708494,-74.0072793344108,2015,8
"1260253","08/31/2015 08:34:15 PM","NYPD","New York City Police Department","Homeless Encampment","N/A","10021","MANHATTAN",40.7720947802706,-73.962069595668,2015,8
"1260538","08/31/2015 07:27:51 PM","DHS","Operations Unit - Department of Homeless Services","Homeless Person Assistance","Status Call","10028","MANHATTAN",40.7792065634434,-73.9549162748491,2015,8
"1260660","08/31/2015 06:54:17 PM","DHS","Operations Unit - Department of Homeless Services","Homeless Person Assistance","Status Call","10032","MANHATTAN",40.835123408008,-73.9397836365518,2015,8
"1260681","08/31/2015 06:49:59 PM","DHS","Operations Unit - Department of Homeless Services","Homeless Person Assistance","No Status Call","10016","MANHATTAN",40.741783227493,-73.9780662376735,2015,8
"1260813","08/31/2015 06:21:06 PM","DHS","Operations Unit - Department of Homeless Services","Homeless Person Assistance","No Status Call","10001","MANHATTAN",40.749288423791,-73.9845421376926,2015,8
"1260825","08/31/2015 06:19:00 PM","DHS","Operations Unit - Department of Homeless Services","Homeless Person Assistance","No Status Call","10033","MANHATTAN",40.8493102469597,-73.9337561852338,2015,8
"1260838","08/31/2015 06:17:02 PM","DHS","Operations Unit - Department of Homeless Services","Homeless Person Assistance","No Status Call","10035","MANHATTAN",40.8050666947167,-73.941140097607,2015,8
"1260843","08/31/2015 06:16:42 PM","DHS","Operations Unit - Department of Homeless Services","Homeless Person Assistance","Status Call","10036","MANHATTAN",40.7585252908505,-73.9925497426898,2015,8
"1260853","08/31/2015 06:12:13 PM","DHS","Operations Unit - Department of Homeless Services","Homeless Person Assistance","No Status Call","10027","MANHATTAN",40.8057509458722,-73.9427577503418,2015,8
"1260956","08/31/2015 05:47:10 PM","DHS","Operations Unit - Department of Homeless Services","Homeless Person Assistance","Status Call","10036","MANHATTAN",40.7574189841072,-73.9902144805584,2015,8
"1261436","08/31/2015 04:19:53 PM","DHS","Operations Unit - Department of Homeless Services","Homeless Person Assistance","No Status Call","10017","MANHATTAN",40.7515870445479,-73.9759299459185,2015,8
"1261866","08/31/2015 03:17:47 PM","DHS","Operations Unit - Department of Homeless Services","Homeless Person Assistance","No Status Call","10026","MANHATTAN",40.8013474617721,-73.9600519103403,2015,8
"1261999","08/31/2015 03:02:36 PM","DHS","Operations Unit - Department of Homeless Services","Homeless Person Assistance","Status Call","10011","MANHATTAN",40.7373662226138,-73.9968461932772,2015,8
"1262262","08/31/2015 02:25:10 PM","NYPD","New York City Police Department","Homeless Encampment","N/A","10017","MANHATTAN",40.7522174303524,-73.9719270275678,2015,8
"1262785","08/31/2015 01:09:21 PM","DHS","Operations Unit - Department of Homeless Services","Homeless Person Assistance","No Status Call","10007","MANHATTAN",40.7113564567897,-74.0105903471366,2015,8
"1262965","08/31/2015 12:41:53 PM","DHS","Operations Unit - Department of Homeless Services","Homeless Person Assistance","No Status Call","10014","MANHATTAN",40.72959009414,-74.0080784316388,2015,8
"1263034","08/31/2015 12:31:16 PM","DHS","Operations Unit - Department of Homeless Services","Homeless Person Assistance","No Status Call","10014","MANHATTAN",40.7344042288608,-74.0101610125432,2015,8
"1264264","08/31/2015 10:15:07 AM","DHS","Operations Unit - Department of Homeless Services","Homeless Person Assistance","No Status Call","10013","MANHATTAN",40.7181474731026,-74.0014898702356,2015,8
"1264314","08/31/2015 10:09:08 AM","NYPD","New York City Police Department","Homeless Encampment","N/A","10016","MANHATTAN",40.7447998425144,-73.9787834111023,2015,8
"1264528","08/31/2015 09:44:44 AM","DHS","Operations Unit - Department of Homeless Services","Homeless Person Assistance","No Status Call","10013","MANHATTAN",40.7223414431675,-74.002687707445,2015,8
"1264671","08/31/2015 09:23:29 AM","NYPD","New York City Police Department","Homeless Encampment","N/A","10017","MANHATTAN",40.752374199471,-73.9732660072224,2015,8
"1264825","08/31/2015 08:51:53 AM","DHS","Operations Unit - Department of Homeless Services","Homeless Person Assistance","No Status Call","10016","MANHATTAN",40.7434246766736,-73.9785348416382,2015,8
"1264828","08/31/2015 08:50:51 AM","DHS","Operations Unit - Department of Homeless Services","Homeless Person Assistance","No Status Call","10016","MANHATTAN",40.7435070559994,-73.9787332994937,2015,8
"1264834","08/31/2015 08:49:49 AM","NYPD","New York City Police Department","Homeless Encampment","N/A","10009","MANHATTAN",NA,NA,2015,8
"1264971","08/31/2015 08:14:41 AM","NYPD","New York City Police Department","Homeless Encampment","N/A","10005","MANHATTAN",40.7051837336015,-74.0073938015358,2015,8
"1264986","08/31/2015 08:10:13 AM","NYPD","New York City Police Department","Homeless Encampment","N/A","10029","MANHATTAN",40.7967095889884,-73.9370590513204,2015,8
"1264995","08/31/2015 08:08:34 AM","DHS","Operations Unit - Department of Homeless Services","Homeless Person Assistance","Status Call","10026","MANHATTAN",40.8038593993715,-73.9540615747706,2015,8
"1265001","08/31/2015 08:04:58 AM","DHS","Operations Unit - Department of Homeless Services","Homeless Person Assistance","Status Call","10016","MANHATTAN",40.7436443536761,-73.9790616578007,2015,8
"1265060","08/31/2015 07:47:13 AM","DHS","Operations Unit - Department of Homeless Services","Homeless Person Assistance","No Status Call","10029","MANHATTAN",40.7967095889884,-73.9370590513204,2015,8
"1265077","08/31/2015 07:39:03 AM","DHS","Operations Unit - Department of Homeless Services","Homeless Person Assistance","No Status Call","10003","MANHATTAN",40.7278607173445,-73.9896631951615,2015,8
"1265191","08/31/2015 06:44:57 AM","NYPD","New York City Police Department","Homeless Encampment","N/A","10019","MANHATTAN",40.7651388294674,-73.9812064480438,2015,8
"1265375","08/31/2015 01:48:27 AM","NYPD","New York City Police Department","Homeless Encampment","N/A","10003","MANHATTAN",40.7345134132613,-73.9844192740809,2015,8
"1265787","08/30/2015 10:55:56 PM","NYPD","New York City Police Department","Homeless Encampment","N/A","10023","MANHATTAN",40.7702309094556,-73.9852304457344,2015,8
"1266519","08/30/2015 06:32:33 PM","NYPD","New York City Police Department","Homeless Encampment","N/A","10025","MANHATTAN",40.8038433882711,-73.9629581357246,2015,8
"1266581","08/30/2015 06:16:14 PM","NYPD","New York City Police Department","Homeless Encampment","N/A","10019","MANHATTAN",40.7654600893445,-73.9819897266776,2015,8
"1266607","08/30/2015 06:08:03 PM","NYPD","New York City Police Department","Homeless Encampment","N/A","10009","MANHATTAN",NA,NA,2015,8
"1266716","08/30/2015 05:20:31 PM","DHS","Operations Unit - Department of Homeless Services","Homeless Person Assistance","No Status Call","10003","MANHATTAN",40.737321983012,-73.9908092215073,2015,8
"1266788","08/30/2015 04:55:17 PM","DHS","Operations Unit - Department of Homeless Services","Homeless Person Assistance","No Status Call","10017","MANHATTAN",40.7527486988736,-73.9791418101956,2015,8
"1266827","08/30/2015 04:40:05 PM","NYPD","New York City Police Department","Homeless Encampment","N/A","10028","MANHATTAN",40.779497764798,-73.9555840679452,2015,8
