"","Created.Date","Agency","Agency.Name","Complaint.Type","Descriptor","Incident.Zip","Borough","Latitude","Longitude","year","month"
"2456479","01/31/2015 11:42:03 PM","DHS","Operations Unit - Department of Homeless Services","Homeless Person Assistance","No Status Call","10003","MANHATTAN",40.7320658862614,-73.99225682965,2015,1
"2456889","01/31/2015 07:12:55 PM","DHS","Operations Unit - Department of Homeless Services","Homeless Person Assistance","No Status Call","10003","MANHATTAN",40.7358280379363,-73.9836106870327,2015,1
"2456902","01/31/2015 07:04:37 PM","DHS","Operations Unit - Department of Homeless Services","Homeless Person Assistance","No Status Call","10025","MANHATTAN",40.8032179868632,-73.9642118632627,2015,1
"2456942","01/31/2015 06:36:37 PM","DHS","Operations Unit - Department of Homeless Services","Homeless Person Assistance","No Status Call","10017","MANHATTAN",40.7530423828212,-73.9791200622947,2015,1
"2457105","01/31/2015 04:51:10 PM","DHS","Operations Unit - Department of Homeless Services","Homeless Person Assistance","No Status Call","10003","MANHATTAN",40.7337071574796,-73.9909937421951,2015,1
"2457768","01/31/2015 11:35:15 AM","DHS","Operations Unit - Department of Homeless Services","Homeless Person Assistance","No Status Call","10006","MANHATTAN",40.7077302961113,-74.0137061069591,2015,1
"2457795","01/31/2015 11:18:29 AM","DHS","Operations Unit - Department of Homeless Services","Homeless Person Assistance","No Status Call","10039","MANHATTAN",40.822237329108,-73.9404709427753,2015,1
"2457946","01/31/2015 10:09:30 AM","DHS","Operations Unit - Department of Homeless Services","Homeless Person Assistance","Status Call","10036","MANHATTAN",40.7605426196161,-73.9917012304628,2015,1
"2462222","01/30/2015 11:23:19 PM","DHS","Operations Unit - Department of Homeless Services","Homeless Person Assistance","No Status Call","10014","MANHATTAN",40.7325079922186,-74.0037128495555,2015,1
"2462348","01/30/2015 10:20:50 PM","DHS","Operations Unit - Department of Homeless Services","Homeless Person Assistance","Status Call","10036","MANHATTAN",40.7617641692628,-73.9939283225956,2015,1
"2462361","01/30/2015 10:10:36 PM","DHS","Operations Unit - Department of Homeless Services","Homeless Person Assistance","No Status Call","10012","MANHATTAN",40.7210183451958,-73.9940114016271,2015,1
"2462643","01/30/2015 07:31:07 PM","NYPD","New York City Police Department","Homeless Encampment","N/A","10011","MANHATTAN",40.7404431150581,-74.0020208390459,2015,1
"2462655","01/30/2015 07:22:29 PM","DHS","Operations Unit - Department of Homeless Services","Homeless Person Assistance","Status Call","10001","MANHATTAN",40.747647505067,-73.9882778659809,2015,1
"2462669","01/30/2015 07:16:44 PM","DHS","Operations Unit - Department of Homeless Services","Homeless Person Assistance","No Status Call","10001","MANHATTAN",40.7443898288997,-73.9923311832695,2015,1
"2462788","01/30/2015 06:22:53 PM","DHS","Operations Unit - Department of Homeless Services","Homeless Person Assistance","No Status Call","10038","MANHATTAN",40.7095724534884,-74.0095332215091,2015,1
"2462934","01/30/2015 05:27:45 PM","NYPD","New York City Police Department","Homeless Encampment","N/A","10025","MANHATTAN",40.805639430596,-73.9661864216271,2015,1
"2463554","01/30/2015 02:45:21 PM","DHS","Operations Unit - Department of Homeless Services","Homeless Person Assistance","No Status Call","10036","MANHATTAN",40.7554084199601,-73.9794874847465,2015,1
"2464099","01/30/2015 12:27:19 PM","NYPD","New York City Police Department","Homeless Encampment","N/A","10013","MANHATTAN",40.7191901623126,-74.0087048744008,2015,1
"2464113","01/30/2015 12:22:04 PM","NYPD","New York City Police Department","Homeless Encampment","N/A","10035","MANHATTAN",40.8050573660921,-73.9390342252959,2015,1
"2464594","01/30/2015 10:48:42 AM","DHS","Operations Unit - Department of Homeless Services","Homeless Person Assistance","No Status Call","10013","MANHATTAN",40.7188336672999,-74.0011111011066,2015,1
"2464655","01/30/2015 10:33:52 AM","NYPD","New York City Police Department","Homeless Encampment","N/A","10003","MANHATTAN",40.7345334209513,-73.9922673678699,2015,1
